"azimuth","horizon_height","horizon_distance"
74,16.484945,54.341513
73,21.780999,53.366656
72,21.482357,52.630789
71,22.018406,51.92302
70,21.361401,52.201533
69,22.161387,51.244512
68,23.750355,57.870545
67,23.506184,58.189346
66,24.801587,56.648036
65,25.946738,54.781384
64,27.437766,55.154329
63,26.739598,56.462377
62,25.316201,56.859476
61,23.501764,57.271284
60,22.801016,62.169124
59,21.511611,63.953108
58,18.779931,62.177166
57,18.300963,64.007812
56,17.787754,48.877398
55,17.787754,48.877398
54,17.926382,48.548944
53,18.069458,47.707442
52,17.984542,48.259714
51,18.14271,48.010416
50,18.286524,47.201695
49,18.215487,47.801674
48,18.370244,47.010637
47,18.502649,46.227697
46,18.558949,46.097722
45,18.558949,46.097722
44,18.412291,47.423623
43,18.536228,46.69047
42,18.432529,47.381431
41,18.434721,47.381431
40,18.566975,46.69047
39,18.566975,46.69047
38,18.567362,46.754679
37,18.672524,46.097722
36,18.531737,46.861498
35,18.494164,47.010637
34,18.583936,46.400431
33,18.583936,46.400431
32,18.505177,46.615448
31,18.505177,46.615448
30,18.431249,46.872167
29,18.489577,46.324939
28,18.368365,46.647615
27,18.368365,46.647615
26,18.282648,47.010637
25,18.282648,47.010637
24,17.953673,48.764741
23,17.815072,49.193496
22,17.838968,48.754487
21,17.705236,48.332184
20,17.705236,48.332184
19,17.69234,48.846699
18,17.515246,49.769469
17,17.171053,50.328918
16,15.861276,49.979996
15,9.893121,51.86521
14,9.74526,51.546096
13,9.610513,52.201533
12,9.577626,38.327536
11,9.666357,52.630789
10,9.871761,52.392748
9,10.064807,52.17279
8,10.268221,50.990195
7,10.59703,48.836462
6,10.637235,48.6621
5,10.596047,49.648766
4,10.460202,50.487622
3,10.326412,50.358713
2,10.131129,52.239832
1,10.014721,52.153619
